replrev,order_id,sess_id,isin_id,amount,amount_rest,id_deal,xstatus,price,price_scale,moment,moment_ns,dir,action,deal_price,deal_price_scale
247497241538,1953465969351327995,6899,3366187,1,1,0,4097,28215.00000,5,2023/10/04 18:58:00.744,1696435080744804991,2,1,0.00000,0
247497241541,1953465969351327997,6899,3032021,10,10,0,4097,26015.00000,5,2023/10/04 18:58:00.745,1696435080745493185,1,1,0.00000,0
247497241544,1953465969351327999,6899,3366187,1,1,0,4097,28415.00000,5,2023/10/04 18:58:00.745,1696435080745954008,2,1,0.00000,0
247497241546,1953465969351328000,6899,3032021,1,1,0,4097,25417.00000,5,2023/10/04 18:58:00.746,1696435080746270573,1,1,0.00000,0
247497241556,1953465969351328006,6899,3032021,1,1,0,4097,26451.00000,5,2023/10/04 18:58:00.749,1696435080749469485,1,1,0.00000,0
247497241559,1953465969351328008,6899,3032021,1,1,0,4097,27076.00000,5,2023/10/04 18:58:00.750,1696435080750122369,2,1,0.00000,0
247497241561,1953465969351328009,6899,3032021,10,10,0,4097,26385.00000,5,2023/10/04 18:58:00.750,1696435080750556539,1,1,0.00000,0
247497241563,1953465969351328011,6899,3032021,3,3,0,4097,27610.00000,5,2023/10/04 18:58:00.751,1696435080751485802,2,1,0.00000,0
247497241565,1953465969351328012,6899,3032021,10,10,0,4097,26375.00000,5,2023/10/04 18:58:00.751,1696435080751985148,1,1,0.00000,0
247497241566,1953465969351328013,6899,3032021,15,15,0,4097,25337.00000,5,2023/10/04 18:58:00.752,1696435080752177798,1,1,0.00000,0
247497241569,1953465969351328015,6899,3032021,5,5,0,4097,23600.00000,5,2023/10/04 18:58:00.752,1696435080752974472,1,1,0.00000,0
247497241570,1953465969351328016,6899,3032021,1,1,0,4097,27793.00000,5,2023/10/04 18:58:00.753,1696435080753645630,2,1,0.00000,0
247497241571,1953465969351328017,6899,3032021,1,1,0,4097,24350.00000,5,2023/10/04 18:58:00.753,1696435080753845415,1,1,0.00000,0
247497241574,1953465969351328020,6899,3032021,1,1,0,4097,26461.00000,5,2023/10/04 18:58:00.755,1696435080755837417,1,1,0.00000,0
247497241576,1953465969351328021,6899,3032021,5,5,0,4097,27400.00000,5,2023/10/04 18:58:00.756,1696435080756162089,2,1,0.00000,0
247497241580,1953465969351328023,6899,3032021,5,5,0,4097,28600.00000,5,2023/10/04 18:58:00.762,1696435080762425428,2,1,0.00000,0
247497241583,1953465969351328025,6899,3032021,1,1,0,4097,23256.00000,5,2023/10/04 18:58:00.763,1696435080763191031,1,1,0.00000,0
247497241584,1953465969351328026,6899,3366187,2,2,0,4097,26649.00000,5,2023/10/04 18:58:00.763,1696435080763446463,1,1,0.00000,0
247497241588,1953465969351328029,6899,3032021,1,1,0,4097,25961.00000,5,2023/10/04 18:58:00.764,1696435080764256804,1,1,0.00000,0
247497241590,1953465969351328030,6899,3366187,2,2,0,4097,25416.00000,5,2023/10/04 18:58:00.764,1696435080764625073,1,1,0.00000,0
